id	loan_count	household_income	most_popular
80421	2	69746	Fire Protection 
80634	81	70290	New Car Dealers 
80215	63	70483	Engineering Services
81301	106	70516	Full-Service Restaurants 
80525	178	70527	Full-Service Restaurants 
81524	3	70688	Environmental Consulting Services
80234	67	70727	New Car Dealers 
80237	132	70770	Offices of Lawyers
80520	1	70844	Site Preparation Contractors
80536	4	71172	Recreational and Vacation Camps (except Campgrounds) 
80648	2	71607	Oil and Gas Pipeline and Related Structures Construction 
80644	7	71974	Cattle Feedlots 
80446	9	72031	Residential Property Managers 
81648	6	72083	General Medical and Surgical Hospitals 
80624	4	72148	Dairy Cattle and Milk Production
80601	53	72541	Offices of Physicians (except Mental Health Specialists) 
80103	1	72632	Commercial and Institutional Building Construction 
80498	24	72743	New Car Dealers 
80814	1	72924	Poured Concrete Foundation and Structure Contractors 
80206	120	73076	Full-Service Restaurants 
81643	1	73409	Skiing Facilities
80466	5	73504	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
80863	8	73705	(blank)
80233	45	73882	Hotels (except Casino Hotels) and Motels 
80249	18	74117	Hotels (except Casino Hotels) and Motels 
80642	7	74688	All Other Support Activities for Transportation 
80478	2	74727	Site Preparation Contractors
80102	5	75343	Other Building Material Dealers 
80212	47	75713	Full-Service Restaurants 
80004	41	75794	Full-Service Restaurants 
80422	5	75849	Casinos (except Casino Hotels)
80925	1	75969	(blank)
81611	104	76027	Full-Service Restaurants 
81657	61	76466	Full-Service Restaurants 
81601	68	76732	New Car Dealers 
80021	107	77155	Custom Computer Programming Services 
80207	60	77282	Other Miscellaneous Durable Goods Merchant Wholesalers 
80530	7	77500	All Other Professional, Scientific, and Technical Services
81620	57	77540	Full-Service Restaurants 
80615	17	77567	Dairy Cattle and Milk Production
80031	45	77826	Hotels (except Casino Hotels) and Motels 
80428	1	77969	Hotels (except Casino Hotels) and Motels 
80211	133	78192	Full-Service Restaurants 
80123	38	78272	New Car Dealers 
81621	39	78281	Plumbing, Heating, and Air-Conditioning Contractors 
80220	40	78773	Offices of Physicians (except Mental Health Specialists) 
80487	91	78907	Full-Service Restaurants 
80228	104	79203	Full-Service Restaurants 
80013	15	79219	Full-Service Restaurants 
80463	1	79318	Nursery and Tree Production 
